view,run,model_id,mode,thinking,max_new_tokens,data_csv,n_total,az_model,az_config,n_scored,timestamp,parse_failures_pct,invalid_smiles_pct,mean_proposals,top1_all_correct,top1_any_correct,top1_maxfrag,top1_n_all_correct,top1_n_any_correct,top1_n_maxfrag,topk_all_correct,topk_any_correct,topk_maxfrag,topk_n_all_correct,topk_n_any_correct,topk_n_maxfrag
hybrid,uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml,250,2026-09-23T17:32:45,4.8,0.0,4.28,24.8,33.2,28.0,62,83,70,36.8,48.4,42.8,92,121,107
az,uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml,250,2026-09-23T17:32:45,35.6,0.0,3.32,24.0,30.4,26.4,60,76,66,35.6,44.8,40.0,89,112,100
llm,uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml,250,2026-09-23T17:32:45,10.4,0.0,2.76,0.8,6.0,2.8,2,15,7,1.2,9.6,5.2,3,24,13
,uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,,,10,2026-09-25T13:03:10,0.0,80.0,4.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
,uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,,,10,2026-09-25T13:04:02,0.0,80.0,4.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
