run,model_id,thinking,max_new_tokens,data_csv,n_scored,n_total,timestamp,parse_failures_pct,invalid_smiles_pct,mean_proposals,top1_all_correct,top1_any_correct,top1_maxfrag,top1_n_all_correct,top1_n_any_correct,top1_n_maxfrag,topk_all_correct,topk_any_correct,topk_maxfrag,topk_n_all_correct,topk_n_any_correct,topk_n_maxfrag
uspto_50k_test_250_Qwen3-32B_think,Qwen/Qwen3-32B,True,4096,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-21T18:01:29,23.2,44.4,2.54,2.4,7.2,4.8,6,18,12,3.2,11.6,6.8,8,29,17
uspto_50k_test_250_Qwen3-30B-A3B-Thinking-2507_think,Qwen/Qwen3-30B-A3B-Thinking-2507,True,16384,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,10,250,2026-09-21T19:11:36,0.0,70.0,3.0,0.0,10.0,0.0,0,1,0,10.0,20.0,10.0,1,2,1
uspto_50k_test_250_GLM-4.7-Flash,zai-org/GLM-4.7-Flash,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-21T19:27:47,16.4,16.8,3.52,0.0,2.0,1.2,0,5,3,0.4,2.4,1.2,1,6,3
uspto_50k_test_250_GLM-4.7-Flash_think,zai-org/GLM-4.7-Flash,True,16384,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,10,250,2026-09-21T19:51:43,40.0,40.0,2.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
